date,code,direction,price,quantity,sell_type,pnl,pnl_pct,days_held,commission,stamp_tax
2024-05-28,605028,buy,15.792,8300,,,,,32.77,0.0
2024-05-29,605028,sell,15.318,8300,hard_stop,-4090.98,-0.0312,1.0,31.77,63.54
2024-05-29,601088,buy,37.812,3300,,,,,31.19,0.0
2024-05-30,603699,sell,18.127,6900,hard_stop,-3413.05,-0.0266,5.0,31.25,62.51
2024-05-30,601918,buy,9.953,12900,,,,,32.1,0.0
2024-06-03,600757,sell,7.341,18500,trailing_stop,3142.35,0.0237,6.0,33.93,67.87
2024-06-03,600757,buy,7.345,18400,,,,,33.79,0.0
2024-06-04,601918,sell,9.786,12900,soft_stop,-2315.67,-0.018,2.0,31.54,63.09
2024-06-04,605577,buy,18.517,6800,,,,,31.48,0.0
2024-06-05,605577,sell,18.065,6800,hard_stop,-3224.06,-0.0256,1.0,30.7,61.39
2024-06-05,601225,buy,23.103,5300,,,,,30.61,0.0
2024-06-05,600757,sell,7.149,18400,hard_stop,-3759.93,-0.0278,2.0,32.87,65.74
2024-06-05,002050,buy,23.805,5500,,,,,32.73,0.0
2024-06-06,601088,sell,37.53,3300,time_stop,-1085.83,-0.0087,5.0,30.95,61.89
2024-06-06,601088,buy,38.005,3200,,,,,30.4,0.0
2024-06-06,601225,sell,24.025,5300,trailing_stop,4725.97,0.0386,1.0,31.82,63.63
2024-06-06,600642,buy,8.291,15700,,,,,32.54,0.0
2024-06-07,002050,sell,23.297,5500,soft_stop,-2957.48,-0.0226,1.0,32.02,64.03
2024-06-07,601088,sell,38.82,3200,trailing_stop,2451.52,0.0202,1.0,31.04,62.08
2024-06-07,600757,buy,7.472,16800,,,,,31.38,0.0
2024-06-07,601019,buy,12.332,10200,,,,,31.45,0.0
2024-06-11,600757,sell,7.478,16800,trailing_stop,-66.33,-0.0005,1.0,31.39,62.78
2024-06-11,601298,buy,8.029,15700,,,,,31.51,0.0
2024-06-11,600642,sell,8.078,15700,hard_stop,-3500.99,-0.0269,2.0,31.69,63.38
2024-06-11,600725,buy,3.032,41900,,,,,31.76,0.0
2024-06-12,601298,sell,7.805,15700,hard_stop,-3675.91,-0.0292,1.0,30.62,61.24
2024-06-12,002938,buy,31.308,3900,,,,,30.52,0.0
2024-06-12,601019,sell,12.677,10200,trailing_stop,3359.61,0.0267,2.0,32.31,64.62
2024-06-12,600757,buy,7.6,17000,,,,,32.3,0.0
2024-06-12,600725,sell,3.08,41900,trailing_stop,1870.25,0.0147,1.0,32.25,64.49
2024-06-12,601918,buy,9.82,13100,,,,,32.16,0.0
2024-06-13,002938,sell,31.498,3900,trailing_stop,588.99,0.0048,1.0,30.7,61.39
2024-06-13,600757,sell,7.743,17000,trailing_stop,2254.44,0.0174,1.0,32.89,65.78
2024-06-13,000807,buy,14.148,8900,,,,,31.48,0.0
2024-06-13,601898,buy,12.157,10500,,,,,31.91,0.0
2024-06-13,601918,sell,9.977,13100,trailing_stop,1898.6,0.0148,1.0,32.66,65.32
2024-06-13,603320,buy,14.217,9200,,,,,32.7,0.0
2024-06-14,603320,sell,15.35,9200,trailing_stop,10249.16,0.0784,1.0,35.29,70.57
2024-06-14,600757,buy,8.048,17600,,,,,35.41,0.0
2024-06-14,000807,sell,13.896,8900,hard_stop,-2399.0,-0.0191,1.0,30.9,61.81
2024-06-14,601811,buy,14.442,8500,,,,,30.69,0.0
2024-06-14,601898,sell,11.804,10500,hard_stop,-3855.71,-0.0302,1.0,30.97,61.94
2024-06-14,600719,buy,10.435,11900,,,,,31.04,0.0
2024-06-17,600757,sell,8.053,17600,trailing_stop,-87.2,-0.0006,1.0,35.42,70.83
2024-06-17,600719,sell,10.3,11900,hard_stop,-1762.23,-0.0142,1.0,30.63,61.25
2024-06-17,605081,buy,12.996,10100,,,,,32.82,0.0
2024-06-17,603025,buy,13.881,9500,,,,,32.97,0.0
2024-06-18,605081,sell,12.65,10100,hard_stop,-3659.26,-0.0279,1.0,31.93,63.85
2024-06-18,605577,buy,17.553,7300,,,,,32.03,0.0
2024-06-19,601811,sell,14.255,8500,soft_stop,-1743.46,-0.0142,2.0,30.28,60.55
2024-06-19,603025,sell,14.312,9500,trailing_stop,3926.44,0.0298,2.0,33.97,67.95
2024-06-19,605081,buy,12.866,10000,,,,,32.17,0.0
2024-06-19,603838,buy,6.353,20200,,,,,32.08,0.0
2024-06-19,605577,sell,17.033,7300,hard_stop,-3950.44,-0.0308,1.0,31.07,62.14
2024-06-19,002653,buy,32.886,3700,,,,,30.42,0.0
2024-06-20,605081,sell,12.64,10000,hard_stop,-2422.25,-0.0188,1.0,31.58,63.17
2024-06-20,603838,sell,6.163,20200,hard_stop,-4005.58,-0.0312,1.0,31.11,62.21
2024-06-20,002653,sell,33.512,3700,trailing_stop,2161.74,0.0178,1.0,30.98,61.97
2024-06-20,603993,buy,8.155,15400,,,,,31.4,0.0
2024-06-20,002653,buy,33.529,3700,,,,,31.01,0.0
2024-06-20,601298,buy,8.341,15200,,,,,31.7,0.0
2024-06-21,002653,sell,32.524,3700,hard_stop,-3870.06,-0.0312,1.0,30.07,60.14
2024-06-21,600757,buy,7.625,15800,,,,,30.12,0.0
2024-06-21,601298,sell,8.576,15200,trailing_stop,3402.48,0.0268,1.0,32.57,65.15
2024-06-21,601811,buy,14.006,9300,,,,,32.56,0.0
2024-06-24,603993,sell,7.779,15400,soft_stop,-5938.17,-0.0473,1.0,29.93,59.87
2024-06-24,601000,buy,4.291,27900,,,,,29.93,0.0
2024-06-24,600757,sell,7.429,15800,hard_stop,-3236.02,-0.0269,1.0,29.33,58.66
2024-06-24,600285,buy,23.662,4900,,,,,28.99,0.0
2024-06-24,601811,sell,13.601,9300,hard_stop,-3925.28,-0.0301,1.0,31.61,63.21
2024-06-24,002353,buy,36.287,3500,,,,,31.75,0.0
2024-06-25,600285,sell,23.025,4900,hard_stop,-3263.44,-0.0281,1.0,28.19,56.38
2024-06-25,605188,buy,7.418,15200,,,,,28.19,0.0
2024-06-26,002353,sell,35.325,3500,soft_stop,-3521.76,-0.0277,1.0,30.89,61.79
2024-06-26,601009,buy,9.192,13500,,,,,31.02,0.0
2024-06-26,605188,sell,7.224,15200,hard_stop,-3079.25,-0.0273,1.0,27.44,54.88
2024-06-26,002273,buy,15.858,6900,,,,,27.36,0.0
2024-06-27,002273,sell,16.301,6900,trailing_stop,2917.91,0.0267,1.0,28.11,56.21
2024-06-27,601000,sell,4.365,27900,trailing_stop,1915.2,0.016,3.0,30.43,60.86
2024-06-27,601000,buy,4.367,26800,,,,,29.26,0.0
2024-06-27,003816,buy,4.372,26700,,,,,29.19,0.0
2024-06-28,601009,sell,9.501,13500,trailing_stop,4019.97,0.0324,2.0,32.05,64.1
2024-06-28,600757,buy,7.682,16700,,,,,32.07,0.0
2024-06-28,601000,sell,4.47,26800,trailing_stop,2601.41,0.0222,1.0,29.93,59.87
2024-06-28,601000,buy,4.472,26700,,,,,29.85,0.0
2024-07-01,003816,sell,4.495,26700,trailing_stop,3118.23,0.0267,2.0,29.99,59.98
2024-07-01,601088,buy,39.559,3000,,,,,29.67,0.0
2024-07-01,600757,sell,7.956,16700,trailing_stop,4412.28,0.0344,1.0,33.2,66.4
2024-07-01,600757,buy,7.96,16800,,,,,33.43,0.0
2024-07-01,601000,sell,4.575,26700,trailing_stop,2586.81,0.0217,1.0,30.52,61.04
2024-07-01,601000,buy,4.577,26700,,,,,30.55,0.0
2024-07-03,601088,sell,39.934,3000,trailing_stop,975.58,0.0082,2.0,29.94,59.87
2024-07-03,600448,buy,2.071,57800,,,,,29.93,0.0
2024-07-04,600448,sell,2.03,57800,hard_stop,-2518.45,-0.021,1.0,29.32,58.64
2024-07-04,603993,buy,8.47,13800,,,,,29.22,0.0
2024-07-04,601000,sell,4.67,26700,trailing_stop,2327.76,0.019,3.0,31.16,62.31
2024-07-04,600350,buy,8.594,14500,,,,,31.15,0.0
2024-07-08,600757,sell,8.081,16800,trailing_stop,1857.07,0.0139,5.0,33.92,67.85
2024-07-08,603993,sell,8.705,13800,trailing_stop,3089.24,0.0264,2.0,30.02,60.03
2024-07-08,605081,buy,13.197,9600,,,,,31.67,0.0
2024-07-08,600219,buy,3.581,36000,,,,,32.23,0.0
2024-07-09,600219,sell,3.651,36000,trailing_stop,2354.76,0.0183,1.0,32.84,65.68
2024-07-09,601298,buy,8.994,14600,,,,,32.83,0.0
2024-07-09,605081,sell,13.45,9600,trailing_stop,2271.34,0.0179,1.0,32.26,64.53
2024-07-09,601918,buy,10.073,12800,,,,,32.23,0.0
2024-07-10,601298,sell,8.724,14600,hard_stop,-4098.41,-0.0312,1.0,31.83,63.65
2024-07-10,601918,sell,9.816,12800,hard_stop,-3446.25,-0.0267,1.0,31.4,62.79
2024-07-10,603129,buy,146.297,800,,,,,29.26,0.0
2024-07-10,601899,buy,18.432,7300,,,,,33.64,0.0
2024-07-11,601899,sell,17.975,7300,hard_stop,-3494.0,-0.026,1.0,32.79,65.58
2024-07-11,001872,buy,20.275,6500,,,,,32.95,0.0
2024-07-12,600350,sell,8.455,14500,time_stop,-2161.47,-0.0173,5.0,30.63,61.27
2024-07-12,605081,buy,14.107,8700,,,,,30.68,0.0
2024-07-15,001872,sell,19.777,6500,soft_stop,-3397.5,-0.0258,1.0,32.12,64.24
2024-07-15,603129,sell,143.171,800,hard_stop,-2644.23,-0.0226,3.0,28.62,57.24
2024-07-15,603993,buy,8.806,13700,,,,,30.16,0.0
2024-07-15,603236,buy,50.74,2400,,,,,30.44,0.0
2024-07-15,605081,sell,13.79,8700,hard_stop,-2908.26,-0.0237,1.0,29.98,59.96
2024-07-15,605188,buy,8.447,14200,,,,,29.99,0.0
2024-07-16,605188,sell,8.503,14200,trailing_stop,640.48,0.0053,1.0,30.17,60.34
2024-07-16,603828,buy,1.501,80400,,,,,30.17,0.0
2024-07-17,603236,sell,51.432,2400,trailing_stop,1506.82,0.0124,2.0,30.84,61.69
2024-07-17,600386,buy,3.245,38000,,,,,30.83,0.0
2024-07-17,603993,sell,8.559,13700,hard_stop,-3526.76,-0.0292,2.0,29.3,58.6
2024-07-17,605081,buy,13.327,8700,,,,,28.99,0.0
2024-07-17,603828,sell,1.53,80400,trailing_stop,2197.98,0.0182,1.0,30.74,61.48
2024-07-17,603828,buy,1.531,81000,,,,,31.0,0.0
2024-07-18,600386,sell,3.164,38000,hard_stop,-3227.13,-0.0262,1.0,30.04,60.09
2024-07-18,605081,sell,12.927,8700,hard_stop,-3618.8,-0.0312,1.0,28.1,56.2
2024-07-18,603828,sell,1.5,81000,hard_stop,-2643.79,-0.0213,1.0,30.36,60.72
2024-07-18,601188,buy,3.17,37200,,,,,29.48,0.0
2024-07-18,600561,buy,4.352,27000,,,,,29.38,0.0
2024-07-18,603713,buy,54.556,2100,,,,,28.64,0.0
2024-07-19,601188,sell,3.355,37200,trailing_stop,6718.3,0.057,1.0,31.18,62.37
2024-07-19,600561,sell,4.53,27000,trailing_stop,4648.43,0.0396,1.0,30.56,61.12
2024-07-19,603236,buy,49.845,2500,,,,,31.15,0.0
2024-07-19,600386,buy,3.185,39500,,,,,31.46,0.0
2024-07-19,603713,sell,53.108,2100,hard_stop,-3180.07,-0.0278,1.0,27.87,55.74
2024-07-19,605136,buy,5.784,19200,,,,,27.76,0.0
2024-07-22,603236,sell,49.269,2500,trailing_stop,-1592.16,-0.0128,1.0,30.78,61.56
2024-07-22,600386,sell,3.09,39500,hard_stop,-3927.3,-0.0312,1.0,30.5,61.0
2024-07-22,601020,buy,14.017,8700,,,,,30.49,0.0
2024-07-22,600148,buy,12.185,10100,,,,,30.77,0.0
2024-07-23,605136,sell,5.901,19200,trailing_stop,2103.38,0.0189,2.0,28.31,56.62
2024-07-23,601020,sell,13.652,8700,hard_stop,-3325.9,-0.0273,1.0,29.68,59.36
2024-07-23,603828,buy,1.681,68900,,,,,28.95,0.0
2024-07-23,605500,buy,6.072,19100,,,,,28.99,0.0
2024-07-24,600148,sell,11.92,10100,hard_stop,-2831.3,-0.023,2.0,30.08,60.16
2024-07-24,603828,sell,1.63,68900,hard_stop,-3614.67,-0.0312,1.0,28.07,56.14
2024-07-24,603236,buy,47.032,2400,,,,,28.22,0.0
2024-07-24,603129,buy,143.536,800,,,,,28.71,0.0
2024-07-25,605500,sell,5.952,19100,hard_stop,-2443.59,-0.0211,2.0,28.4,56.81
2024-07-25,603236,sell,45.621,2400,hard_stop,-3523.16,-0.0312,1.0,27.36,54.72
2024-07-25,603129,sell,139.23,800,hard_stop,-3584.05,-0.0312,1.0,27.83,55.66
2024-07-25,605081,buy,14.527,7700,,,,,27.96,0.0
2024-07-25,600386,buy,2.997,37800,,,,,28.32,0.0
2024-07-25,601188,buy,3.386,33500,,,,,28.36,0.0
2024-07-26,605081,sell,14.091,7700,hard_stop,-3491.39,-0.0312,1.0,27.11,54.22
2024-07-26,600386,sell,3.144,37800,trailing_stop,5418.72,0.0478,1.0,29.7,59.4
2024-07-26,601188,sell,3.414,33500,trailing_stop,786.24,0.0069,1.0,28.57,57.15
2024-07-26,603828,buy,1.681,67700,,,,,28.45,0.0
2024-07-26,600148,buy,12.316,9200,,,,,28.33,0.0
2024-07-26,603706,buy,15.266,7400,,,,,28.24,0.0
2024-07-29,603828,sell,1.63,67700,hard_stop,-3551.72,-0.0312,1.0,27.58,55.16
2024-07-29,600148,sell,12.72,9200,trailing_stop,3569.14,0.0315,1.0,29.24,58.48
2024-07-29,605188,buy,8.267,13800,,,,,28.52,0.0
2024-07-29,600148,buy,12.586,9000,,,,,28.32,0.0
2024-07-30,605188,sell,8.483,13800,trailing_stop,2830.25,0.0248,1.0,29.25,58.5
2024-07-30,605081,buy,14.867,7900,,,,,29.36,0.0
2024-07-30,600148,sell,12.88,9000,trailing_stop,2498.53,0.0221,1.0,28.97,57.93
2024-07-30,601000,buy,5.13,22600,,,,,28.98,0.0
2024-07-31,605081,sell,15.72,7900,trailing_stop,6580.11,0.056,1.0,31.03,62.06
2024-07-31,603385,buy,5.372,23100,,,,,31.03,0.0
2024-07-31,601000,sell,5.042,22600,hard_stop,-2138.83,-0.0184,1.0,28.47,56.94
2024-07-31,605081,buy,16.048,7100,,,,,28.49,0.0
2024-08-01,603385,sell,5.507,23100,trailing_stop,2959.51,0.0238,1.0,31.79,63.58
2024-08-01,605081,sell,16.32,7100,trailing_stop,1786.26,0.0157,1.0,28.95,57.91
2024-08-01,600757,buy,7.816,15500,,,,,30.29,0.0
2024-08-01,603385,buy,5.54,21900,,,,,30.33,0.0
2024-08-05,603706,sell,14.808,7400,soft_stop,-3531.08,-0.0313,5.0,27.38,54.76
2024-08-05,603272,buy,8.623,12700,,,,,27.38,0.0
2024-08-05,600757,sell,7.621,15500,hard_stop,-3179.77,-0.0262,2.0,29.52,59.03
2024-08-05,603021,buy,2.711,43500,,,,,29.49,0.0
2024-08-05,603385,sell,5.373,21900,hard_stop,-3786.6,-0.0312,2.0,29.4,58.81
2024-08-06,603272,sell,8.499,12700,hard_stop,-1704.6,-0.0156,1.0,26.97,53.94
2024-08-06,600202,buy,3.597,31300,,,,,28.15,0.0
2024-08-06,603385,buy,5.412,20800,,,,,28.14,0.0
2024-08-07,603021,sell,2.74,43500,trailing_stop,1097.11,0.0093,2.0,29.78,59.57
2024-08-07,600202,sell,3.665,31300,trailing_stop,1982.46,0.0176,1.0,28.66,57.33
2024-08-07,603385,sell,5.507,20800,trailing_stop,1846.19,0.0164,1.0,28.62,57.25
2024-08-07,601811,buy,13.342,8700,,,,,29.02,0.0
2024-08-07,600130,buy,3.222,36000,,,,,28.99,0.0
2024-08-07,603036,buy,9.65,12000,,,,,28.95,0.0
2024-08-08,600130,sell,3.21,36000,trailing_stop,-562.37,-0.0048,1.0,28.88,57.75
2024-08-08,603897,buy,15.522,7400,,,,,28.72,0.0
2024-08-09,603897,sell,16.25,7400,trailing_stop,5234.09,0.0456,1.0,30.05,60.09
2024-08-09,603385,buy,5.549,21800,,,,,30.24,0.0
2024-08-12,603036,sell,9.408,12000,hard_stop,-3042.12,-0.0263,3.0,28.21,56.42
2024-08-12,603897,buy,15.594,7200,,,,,28.07,0.0
2024-08-14,601811,sell,13.506,8700,trailing_stop,1279.41,0.011,5.0,29.36,58.72
2024-08-14,603326,buy,5.05,23300,,,,,29.41,0.0
2024-08-15,603385,sell,5.409,21800,hard_stop,-3209.33,-0.0265,4.0,29.46,58.93
2024-08-15,605081,buy,14.557,8000,,,,,29.11,0.0
2024-08-16,605081,sell,14.15,8000,hard_stop,-3399.66,-0.0292,1.0,28.29,56.57
2024-08-16,605058,buy,17.463,6500,,,,,28.38,0.0
2024-08-19,603326,sell,4.974,23300,soft_stop,-1920.4,-0.0163,2.0,28.96,57.91
2024-08-19,603993,buy,7.283,16000,,,,,29.13,0.0
2024-08-20,603897,sell,15.443,7200,time_stop,-1228.16,-0.0109,5.0,27.78,55.57
2024-08-20,600202,buy,3.697,30000,,,,,27.73,0.0
2024-08-21,605058,sell,17.669,6500,soft_stop,1196.51,0.0105,2.0,28.7,57.4
2024-08-21,600202,sell,3.586,30000,hard_stop,-3461.49,-0.0312,1.0,26.88,53.76
2024-08-21,601600,buy,6.437,17200,,,,,27.68,0.0
2024-08-21,002653,buy,29.434,3700,,,,,27.23,0.0
2024-08-23,002653,sell,29.726,3700,trailing_stop,942.01,0.0086,2.0,27.48,54.97
2024-08-23,600757,buy,7.97,14100,,,,,28.09,0.0
2024-08-26,601600,sell,6.558,17200,trailing_stop,1947.62,0.0176,3.0,28.19,56.37
2024-08-26,002653,buy,30.156,3700,,,,,27.89,0.0
2024-08-27,600757,sell,8.186,14100,trailing_stop,2908.29,0.0259,2.0,28.84,57.68
2024-08-27,600757,buy,8.19,14200,,,,,29.08,0.0
